Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
Everyone Says I Love You,A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,17 Jan 1997,"Comedy, Musical, Romance",Comedy,6.7,1996,Woody Allen,"Woody Allen, Goldie Hawn, Julia Roberts",tt0116242
"I Love You, Beth Cooper","A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.",10 Jul 2009,"Adventure, Comedy, Family",Comedy,5.3,2009,Chris Columbus,"Hayden Panettiere, Paul Rust, Jack Carpenter",tt1032815
Must Love Dogs,"Sarah Nolan, a preschool teacher, is forced into finding a man after her sister Carol makes her a profile on a matchmaking website. Her life is changed when she meets Jake, a recent divorcee.",29 Jul 2005,"Comedy, Romance",Comedy,5.9,2005,Gary David Goldberg,"Diane Lane, John Cusack, Elizabeth Perkins",tt0417001
Love the Coopers,The intertwined stories of four generations of Coopers unfold right before the annual family reunion on Christmas Eve. Can they survive the most beautiful time of the year?,13 Nov 2015,"Comedy, Fantasy, Romance",Comedy,5.8,2015,Jessie Nelson,"Steve Martin, Diane Keaton, John Goodman",tt2279339
Love & Friendship,"Lady Susan Vernon takes up temporary residence at her in-laws' estate and, while there, is determined to be a matchmaker for her daughter Frederica--and herself too, naturally.",03 Jun 2016,"Comedy, Drama, Romance",Comedy,6.4,2016,Whit Stillman,"Kate Beckinsale, Chloë Sevigny, Xavier Samuel",tt3068194
Seeking True Love,"Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",18 Aug 2017,"Comedy, Romance",Comedy,7.5,2017,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao",tt6967980
Addicted to Love,"Maggie's and Sam's former partners are in love; she wants revenge and he wants his lost love back, so they work together to break up the happy couple.",23 May 1997,"Comedy, Romance",Comedy,6.1,1997,Griffin Dunne,"Meg Ryan, Matthew Broderick, Kelly Preston",tt0118556
Toilet: A Love Story,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",11 Aug 2017,"Comedy, Drama, Romance",Comedy,7.2,2017,Shree Narayan Singh,"Akshay Kumar, Anupam Kher, Bhumi Pednekar",tt5785170
Falling Inn Love,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.",29 Aug 2019,"Comedy, Romance",Comedy,5.7,2019,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman",tt9860728
Love Wedding Repeat,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the sa...",10 Apr 2020,"Comedy, Romance",Comedy,5.6,2020,Dean Craig,"Sam Claflin, Olivia Munn, Freida Pinto",tt5096470
The Love Witch,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",10 Mar 2017,"Comedy, Horror, Romance",Comedy,6.2,2016,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell",tt3908142
"Love, Guaranteed","To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each ...",03 Sep 2020,"Comedy, Romance",Comedy,5.6,2020,Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham",tt11100856
The Love Bug,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of it's own, not realizing Herbie's worth until a sneaky rival plots to steal him.",13 Mar 1969,"Comedy, Family, Sport",Comedy,6.5,1968,Robert Stevenson,"Dean Jones, Michele Lee, David Tomlinson",tt0064603
Love in the Afternoon,A middle-aged playboy becomes fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.,30 Jun 1957,"Comedy, Crime, Drama",Comedy,7.1,1957,Billy Wilder,"Gary Cooper, Audrey Hepburn, Maurice Chevalier",tt0050658
I Think I Love My Wife,A married man who daydreams about being with other women finds his will and morals tested after he's visited by the ex-mistress of his old friend.,16 Mar 2007,"Comedy, Drama, Romance",Comedy,5.5,2007,Chris Rock,"Chris Rock, Kerry Washington, Gina Torres",tt0770772
Love Again,"A young woman tries to ease the pain of her fiancé's death by sending texts to his old cell phone number, and forms a connection with the man the number has been reassigned to.",05 May 2023,"Comedy, Drama, Romance",Comedy,5.9,2023,Jim Strouse,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion",tt10276482
Love Aaj Kal,An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?,31 Jul 2009,"Comedy, Drama, Romance",Comedy,6.8,2009,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor",tt1275863
Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist.",31 Jan 2009,"Action, Comedy, Drama",Comedy,8.0,2008,Sion Sono,"Takahiro Nishijima, Hikari Mitsushima, Sakura Andô",tt1128075
The Love Punch,A divorced couple scheme to recover the retirement money that was stolen from them.,23 May 2014,"Comedy, Romance",Comedy,5.7,2013,Joel Hopkins,"Pierce Brosnan, Emma Thompson, Timothy Spall",tt2234261
Love Today,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",04 Nov 2022,"Comedy, Drama, Romance",Comedy,8.0,2022,Pradeep Ranganathan,"Pradeep Ranganathan, Ivana, Yogi Babu",tt22488728
I Love You to Death,"Joey Boca (Kevin Kline) owns a pizza parlor, and is married to Rosalie (Tracey Ullman). He's also a serial womanizer. Rosalie goes to extremes when she finds he has been cheating.",06 Apr 1990,"Comedy, Crime",Comedy,6.4,1990,Lawrence Kasdan,"Kevin Kline, Tracey Ullman, William Hurt",tt0099819
For Love or Money,"Doug, a concierge at a luxury Manhattan hotel, saves all his tips toward his plan for a hotel. A potential investor seduces the girl Doug loves with false promises of leaving his wife. Doug's dilemma: hotel project or girl?",01 Oct 1993,"Comedy, Drama, Romance",Comedy,6.2,1993,Barry Sonnenfeld,"Michael J. Fox, Gabrielle Anwar, Anthony Higgins",tt0106941
Love Potion No. 9,Two scientists who are hopeless with the opposite sex experiment with a substance that makes them irresistible to anyone who hears them speak.,13 Nov 1992,"Comedy, Fantasy, Romance",Comedy,5.7,1992,Dale Launer,"Tate Donovan, Sandra Bullock, Mary Mara",tt0102343
Love Is All You Need,"A hairdresser who has lost her hair to cancer, finds out her husband is having an affair, travels to Italy for her daughter's wedding, and meets a widower who still blames the world for the loss of his wife.",06 Sep 2012,"Comedy, Drama, Romance",Comedy,6.5,2012,Susanne Bier,"Pierce Brosnan, Trine Dyrholm, Molly Blixt Egelind",tt1854236
Love and Other Disasters,An American intern at U.K. Vogue helps her friends find love.,25 Apr 2007,"Comedy, Drama, Romance",Comedy,6.1,2006,Alek Keshishian,"Brittany Murphy, Matthew Rhys, Catherine Tate",tt0452643
Love in the Villa,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",01 Sep 2022,"Comedy, Romance",Comedy,5.4,2022,Mark Steven Johnson,"Kat Graham, Tom Hopper, Raymond Ablack",tt15463032
Last Love,"He's a widower in Paris who speaks no French. She's a dance instructor less than half his age. Can they become a family, or will his estranged adult children halt the friendship?",01 Nov 2013,"Comedy, Drama, Romance",Comedy,6.7,2013,Sandra Nettelbeck,"Michael Caine, Michelle Goddet, Jane Alexander",tt1838603
I Love Trouble,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,29 Jun 1994,"Action, Comedy, Romance",Comedy,5.3,1994,Charles Shyer,"Nick Nolte, Julia Roberts, Saul Rubinek",tt0110093
Love Hurts,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully bu...",07 Feb 2025,"Action, Comedy, Romance",Comedy,5.3,2025,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir",tt30788842
Puppy Love,"After a disastrous first date, Nicole and Max vow to lose each other's numbers until their dogs find a love match. Hilariously mismatched Nicole and Max are forced to become responsible co-parents, but end up finding love themselves.",18 Aug 2023,Comedy,Comedy,6.3,2023,"Nick Fabiano, Richard Alan Reid","Lucy Hale, Grant Gustin, Nore Davis",tt28182736
What's Love Got to Do with It?,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships.",05 May 2023,"Comedy, Drama, Romance",Comedy,6.3,2022,Shekhar Kapur,"Mim Shaikh, Iman Boujelouah, Lily James",tt13430858
Love in the Afternoon,"Though he has an adoring wife, a bourgeois man is still tempted to pursue other women.",01 Sep 1972,"Comedy, Drama, Romance",Comedy,7.6,1972,Éric Rohmer,"Bernard Verley, Zouzou, Françoise Verley",tt0068205
"Love, Wedding, Marriage",A happy newlywed marriage counselor's views on wedded bliss get thrown for a loop when she finds out her parents are getting divorced.,24 Jun 2011,"Comedy, Romance",Comedy,4.8,2011,Dermot Mulroney,"Mandy Moore, Kellan Lutz, James Brolin",tt1436559
Love Don't Cost a Thing,A high school loser pays a cheerleader to pose as his girlfriend so he can be considered cool.,12 Dec 2003,"Comedy, Romance, Drama",Comedy,5.2,2003,Troy Byer,"Nick Cannon, Christina Milian, Jordan Burg",tt0337592
Up for Love,"A lawyer dating a dashing, wealthy architect four and a half feet tall gets ribbed by her family, employees and jealous ex about his stature.",04 May 2016,"Comedy, Romance",Comedy,6.3,2016,Laurent Tirard,"Jean Dujardin, Virginie Efira, Cédric Kahn",tt4699388
Accidental Love,"A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happen...",10 Feb 2015,"Comedy, Romance",Comedy,4.1,2015,David O. Russell,"Jessica Biel, Ray Brown, Jenny Gulley",tt1137470
Jaan-E-Mann: Let's Fall in Love... Again,"Follows a love triangle between Agastya, Suhaan and Piya.",20 Oct 2006,"Comedy, Drama, Musical",Comedy,6.1,2006,Shirish Kunder,"Salman Khan, Akshay Kumar, Preity G Zinta",tt0456481
Love Per Square Foot,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.",14 Feb 2018,"Comedy, Romance",Comedy,7.1,2018,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Alankrita Sahai",tt7853242
The Thing Called Love,Newcomers to the country-music business seek love and stardom.,27 Aug 1993,"Comedy, Drama, Music",Comedy,6.4,1993,Peter Bogdanovich,"River Phoenix, Samantha Mathis, Dermot Mulroney",tt0108327
Love Liza,"A depressed widower spends his time huffing gasoline fumes, buying toy planes and acting reckless in public while avoiding reading his wife's suicide note.",31 Jan 2003,"Comedy, Drama",Comedy,6.9,2002,Todd Louiso,"Philip Seymour Hoffman, Annie Morgan, Kathy Bates",tt0282698
"Peace, Love & Misunderstanding",An uptight New York City lawyer takes her two teenagers to her hippie mother's farmhouse upstate for a family vacation.,16 Aug 2012,"Comedy, Drama, Music",Comedy,5.9,2011,Bruce Beresford,"Jane Fonda, Catherine Keener, Elizabeth Olsen",tt1649780
Nisshartho Bhalobasha: What is Love!,Nishwartha Bhalobasa (English: Selfless Love) is Bangladeshi romantic-action-comedy film directed by Ananta Jalil. starring Ananta and Barsha in the lead roles. The film is produced by Ananta Jalil under the banner of Monsoon Film...,08 Aug 2013,"Action, Comedy, Drama",Comedy,7.0,2013,Ananta Jalil,"Ananta Jalil, Afiea Nusrat Barsha, Misha Sawdagor",tt3073256
Rain Man,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheri...",16 Dec 1988,Drama,Drama,8.0,1988,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino",tt0095953
Inside Man,"A police detective, a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",24 Mar 2006,"Crime, Drama, Mystery",Drama,7.6,2006,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster",tt0454848
Man on Fire,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",23 Apr 2004,"Action, Crime, Drama",Drama,7.7,2004,Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning",tt0328107
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",10 Oct 1980,"Biography, Drama",Drama,8.2,1980,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft",tt0080678
The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",28 Feb 2020,"Drama, Horror, Mystery",Drama,7.1,2020,Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer",tt1051906
Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to ...",12 Dec 2008,"Action, Biography, Drama",Drama,8.0,2008,Wilson Yip,"Donnie Yen, Simon Yam, Louis Fan",tt1220719
First Man,"A look back at the life of astronaut Neil Armstrong and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",12 Oct 2018,"Biography, Drama, History",Drama,7.3,2018,Damien Chazelle,"Ryan Gosling, Claire Foy, Jason Clarke",tt1213641
The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,13 Nov 2007,"Drama, Fantasy, Mystery",Drama,7.8,2007,Richard Schenkman,"David Lee Smith, Tony Todd, John Billingsley",tt0756683
